1000,1000
2000,2000
1000,1000
372,100
250,250
341,1000
210,100
141,250
443,1000
386,1000
216,250
250,250
250,250
547,1000
250,250
36,250
87,250
104,250
76,250
80,250
180,100
368,1000
250,1000
167,100
18,1000
250,250
126,100
219,1000
7,1000
250,250
11,250
87,250
45,100
12,250
21,250
97,250
1,100
42,250
111,100
205,1000
31,1000
47,100
30,100
12,1000
64,1000
37,100
128,250
100,250
100,100
3,250
144,250
162,250
12,250
152,250
18,100
91,250
250,250
250,250
5,100
116,250
41,100
4,100
5,100
64,1000
167,100
40,250
145,250
4,100
63,250
1,250
91,100
11,250
100,100
4,250
23,250
3,250
12,250
17,100
43,100
6,250
167,250
8,250
1,250
5,100
5,250
178,250
100,100
13,100
167,1000
4,250
10,250
5,250
10,100
16,100
16,100
5,250
5,100
7,250
19,250
176,100
1000,1000
2000,2000
1000,1000
372,100
250,250
341,1000
210,100
141,250
443,1000
386,1000
216,250
250,250
250,250
547,1000
250,250
36,250
87,250
104,250
76,250
80,250
180,100
368,1000
250,1000
167,100
18,1000
250,250
126,100
219,1000
7,1000
250,250
11,250
87,250
45,100
12,250
21,250
97,250
1,100
42,250
111,100
205,1000
31,1000
47,100
30,100
12,1000
64,1000
37,100
128,250
100,250
100,100
3,250
1000,1000
2000,2000
1000,1000
372,100
250,250
341,1000
210,100
142,250
450,1000
386,1000
221,250
250,250
250,250
549,1000
250,250
37,250
87,250
104,250
76,250
80,250
180,100
368,1000
250,1000
167,100
18,1000
250,250
126,100
219,1000
7,1000
250,250
11,250
87,250
45,100
12,250
21,250
97,250
1,100
44,250
111,100
205,1000
32,1000
47,100
30,100
12,1000
64,1000
37,100
128,250
100,250
100,100
3,250
1000,1000
2000,2000
1000,1000
372,100
250,250
341,1000
210,100
142,250
450,1000
386,1000
221,250
250,250
250,250
549,1000
250,250
37,250
87,250
104,250
76,250
80,250
180,100
368,1000
250,1000
167,100
18,1000
250,250
126,100
219,1000
7,1000
250,250
11,250
87,250
45,100
12,250
21,250
97,250
1,100
44,250
111,100
205,1000
32,1000
47,100
30,100
12,1000
64,1000
37,100
128,250
100,250
100,100
3,250
1000,1000
2000,2000
1000,1000
372,100
250,250
341,1000
210,100
142,250
450,1000
386,1000
221,250
250,250
250,250
549,1000
250,250
37,250
87,250
104,250
76,250
80,250
180,100
368,1000
250,1000
167,100
18,1000
250,250
126,100
219,1000
7,1000
250,250
11,250
87,250
45,100
12,250
21,250
97,250
1,100
44,250
111,100
205,1000
32,1000
47,100
30,100
12,1000
64,1000
37,100
128,250
100,250
100,100
3,250
1000,1000
2000,2000
1000,1000
372,100
250,250
341,1000
210,100
142,250
450,1000
386,1000
221,250
250,250
250,250
549,1000
250,250
37,250
87,250
104,250
76,250
80,250
180,100
368,1000
250,1000
167,100
18,1000
250,250
126,100
219,1000
7,1000
250,250
11,250
87,250
45,100
12,250
21,250
97,250
1,100
44,250
111,100
205,1000
32,1000
47,100
30,100
12,1000
64,1000
37,100
128,250
100,250
100,100
3,250
147,250
162,250
12,250
152,250
18,100
91,250
250,250
250,250
5,100
116,250
41,100
4,100
5,100
64,1000
167,100
40,250
145,250
4,100
63,250
1,250
91,100
11,250
100,100
4,250
23,250
3,250
12,250
17,100
43,100
6,250
167,250
8,250
1,250
5,100
5,250
178,250
100,100
13,100
167,1000
4,250
10,250
5,250
10,100
16,100
16,100
5,250
5,100
7,250
19,250
176,100
1000,1000
2000,2000
1000,1000
372,100
250,250
341,1000
210,100
142,250
450,1000
386,1000
221,250
250,250
250,250
549,1000
250,250
37,250
87,250
104,250
76,250
80,250
180,100
368,1000
250,1000
167,100
18,1000
250,250
126,100
219,1000
7,1000
250,250
11,250
87,250
45,100
12,250
21,250
97,250
1,100
44,250
111,100
205,1000
32,1000
47,100
30,100
12,1000
64,1000
37,100
128,250
100,250
100,100
3,250
147,250
162,250
12,250
152,250
18,100
91,250
250,250
250,250
5,100
116,250
41,100
4,100
5,100
64,1000
167,100
40,250
145,250
4,100
63,250
1,250
91,100
11,250
100,100
4,250
23,250
3,250
12,250
17,100
43,100
6,250
167,250
8,250
1,250
5,100
5,250
178,250
100,100
13,100
167,1000
4,250
10,250
5,250
10,100
16,100
16,100
5,250
5,100
7,250
19,250
176,100
3,250
7,100
104,250
3,250
14,250
7,250
3,100
6,100
4,250
2,250
4,250
18,100
30,250
8,100
16,100
1,100
5,100
6,100
6,100
18,100
10,250
68,100
2,100
2,100
6,250
4,100
2,100
3,100
2,100
7,250
9,100
1,100
6,100
3,100
2,100
9,100
1,100
4,100
3,100
3,100
5,100
2,100
12,100
15,100
1,100
2,100
6,100
1,100
7,250
2,100
6,100
3,100
3,100
15,100
4,250
2,100
2,100
2,100
2,100
3,100
2,100
6,100
4,100
3,100
5,100
3,100
20,100
3,100
19,100
2,100
1,100
2,100
3,100
3,100
3,100
2,100
3,100
2,100
5,100
1,100
5,100
3,100
2,100
8,100
3,100
7,100
2,100
3,100
4,100
1,100
7,100
3,100
1,100
1,100
4,100
2,100
1,100
2,100
7,100
2,100
1000,1000
2000,2000
1000,1000
372,100
250,250
341,1000
210,100
142,250
450,1000
386,1000
221,250
250,250
250,250
549,1000
250,250
37,250
87,250
104,250
76,250
80,250
180,100
368,1000
250,1000
167,100
18,1000
250,250
126,100
219,1000
7,1000
250,250
11,250
87,250
45,100
12,250
21,250
97,250
1,100
44,250
111,100
205,1000
32,1000
47,100
30,100
12,1000
64,1000
37,100
128,250
100,250
100,100
3,250
1000,1000
2000,2000
1000,1000
372,100
250,250
341,1000
210,100
142,250
450,1000
386,1000
221,250
250,250
250,250
549,1000
250,250
37,250
87,250
104,250
76,250
80,250
180,100
368,1000
250,1000
167,100
18,1000
250,250
126,100
219,1000
7,1000
250,250
11,250
87,250
45,100
12,250
21,250
97,250
1,100
44,250
111,100
205,1000
32,1000
47,100
30,100
12,1000
64,1000
37,100
128,250
100,250
100,100
3,250
147,250
162,250
12,250
152,250
18,100
91,250
250,250
250,250
5,100
116,250
41,100
4,100
5,100
64,1000
167,100
40,250
145,250
4,100
63,250
1,250
91,100
11,250
100,100
4,250
23,250
3,250
12,250
17,100
43,100
6,250
167,250
8,250
1,250
5,100
5,250
178,250
100,100
13,100
167,1000
4,250
10,250
5,250
10,100
16,100
16,100
5,250
5,100
7,250
19,250
176,100
1000,1000
2000,2000
1000,1000
372,100
250,250
341,1000
210,100
142,250
450,1000
386,1000
221,250
250,250
250,250
549,1000
250,250
37,250
87,250
104,250
76,250
80,250
180,100
368,1000
250,1000
167,100
18,1000
250,250
126,100
219,1000
7,1000
250,250
11,250
87,250
45,100
12,250
21,250
97,250
1,100
44,250
111,100
205,1000
32,1000
47,100
30,100
12,1000
64,1000
37,100
128,250
100,250
100,100
3,250
1000,1000
2000,2000
1000,1000
372,100
250,250
341,1000
210,100
142,250
450,1000
386,1000
221,250
250,250
250,250
549,1000
250,250
37,250
87,250
104,250
76,250
80,250
180,100
368,1000
250,1000
167,100
18,1000
250,250
126,100
219,1000
7,1000
250,250
11,250
87,250
45,100
12,250
21,250
97,250
1,100
44,250
111,100
205,1000
32,1000
47,100
30,100
12,1000
64,1000
37,100
128,250
100,250
100,100
3,250
