"Delivered on Apr 06"
"Arrives today"
"Canceled"
"Now arrives Thu, Apr 06"
"Now arrives Mon, Apr 10"
"Now arrives Mon, Apr 10"
"Arrives by Thu, Apr 06"
"Now arrives Sat, Apr 08"
"Delivered on Apr 03"
"Arrives by Thu, Apr 06"
"Now arrives Sat, Apr 08"
"Arrives by Wed, Apr 12"
"Now arrives Wed, Apr 12"
"Arrives by Fri, Apr 07"
"Arrives by Tue, Apr 11"
